2025-11-05 16:00:09,587 - __main__ - INFO - File logging enabled: opcua_simulator.log
2025-11-05 16:00:09,600 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3082, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3077, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,600 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3083, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3077, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,600 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3084, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2007, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,600 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3085, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2007, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,601 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3086, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,601 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3087, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,601 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3088, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3089, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3090, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3091, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3092, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3093, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,602 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3094, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2009, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,603 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=2010, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,603 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3096, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,603 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3097, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,603 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3098, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,603 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3099, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
2025-11-05 16:00:09,604 - asyncua.server.address_space - INFO - add_node: while adding node NumericNodeId(Identifier=3100, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>), requested parent node NumericNodeId(Identifier=3095, NamespaceIndex=0, NodeIdType=<NodeIdType.Numeric: 2>) does not exists
